name,iso,fips,woeid
Colonia,URY,UY04,0
San José,URY,UY16,0
Artigas,URY,UY01,0
Paysandú,URY,UY11,0
Salto,URY,UY15,0
Durazno,URY,UY05,0
Tacuarembó,URY,UY18,0
Treinta y Tres,URY,UY19,0
Canelones,URY,UY02,0
Florida,URY,UY07,0
Lavalleja,URY,UY08,0
Maldonado,URY,UY09,0
Montevideo,URY,UY10,0
Rocha,URY,UY14,0
Falcón,VEN,VE11,0
Nicaragua,NIC,NU00,0
Barinas,VEN,VE05,0
Táchira,VEN,VE20,0
Lara,VEN,VE13,0
Nickerie,SUR,NS14,0
Anzoátegui,VEN,VE02,0
Guárico,VEN,VE12,0
Diego Martin,TTO,TD00,0
Siparia,TTO,TD00,0
Arima,TTO,TD00,0
Sangre Grande,TTO,TD00,0
Mayaro/Rio Claro,TTO,TD00,0
San Juan/Laventille,TTO,TD00,0
Princes Town,TTO,TD00,0
Couva/Tabaquite/Talparo,TTO,TD00,0
Penal/Debe,TTO,TD00,0
Point Fortin,TTO,TD00,0
Tunapuna/Piarco,TTO,TD00,0
San Fernando,TTO,TD00,0
Chaguanas,TTO,TD00,0
Port of Spain,TTO,TD00,0
Brokopondo,SUR,NS10,0
Sipaliwini,SUR,NS18,0
Coronie,SUR,NS12,0
Paramaribo,SUR,NS16,0
Wanica,SUR,NS19,0
Gibraltar,GIB,GI00,0
Castilla-La Mancha,ESP,SP84,0
Castilla y León,ESP,SP85,0
Comunidad de Madrid,ESP,SP87,0
Dosso,NER,NG03,0
Niamey,NER,NG09,0
Tahoua,NER,NG06,0
Médenine,TUN,TS28,0
Kebili,TUN,TS31,0
Tataouine,TUN,TS34,0
Canillo,ESP,SP86,0
Tozeur,TUN,TS35,0
Manubah,TUN,TS38,0
Béja,TUN,TS17,0
Ben Arous (Tunis Sud),TUN,TS32,0
Bizerte,TUN,TS18,0
Jendouba,TUN,TS06,0
Nabeul,TUN,TS19,0
Tunis,TUN,TS36,0
Le Kef,TUN,TS14,0
Kassérine,TUN,TS02,0
Gabès,TUN,TS29,0
Gafsa,TUN,TS10,0
Sidi Bou Zid,TUN,TS33,0
Sfax,TUN,TS32,0
Siliana,TUN,TS22,0
Mahdia,TUN,TS15,0
Monastir,TUN,TS16,0
Kairouan,TUN,TS03,0
Sousse,TUN,TS23,0
Zaghouan,TUN,TS37,0
Pirotski,SRB,BU47,0
Borski,SRB,RO26,0
Bucharest,ROU,RO10,0
Calarasi,ROU,RO41,0
Dâmbovita,ROU,RO16,0
Giurgiu,ROU,RO42,0
Constanta,ROU,RO14,0
Lattakia (Al Ladhiqiyah),SYR,SY02,0
Tartus,SYR,SY14,0
Ar Raqqah,SYR,SY04,0
Aleppo (Halab),SYR,SY09,0
Hamah,SYR,SY10,0
Homs (Hims),SYR,SY11,0
Idlib,SYR,SY12,0
Hasaka (Al Haksa),SYR,SY01,0
Dayr Az Zawr,SYR,SY07,0
As Suwayda',SYR,SY05,0
Damascus,SYR,SY08,0
Quneitra,SYR,SY03,0
Dar`a,SYR,SY06,0
North Bahr-al-Ghazal,SDS,SU54,0
Blue Nile,SDN,SU42,0
Red Sea,SDN,EG02,0
Al Hudaydah,YEM,YM08,0
Al Mahwit,YEM,YM10,0
Dhamar,YEM,YM11,0
Hajjah,YEM,YM22,0
Amran,YEM,YM00,0
Ibb,YEM,YM23,0
Lahij,YEM,YM24,0
Genève,CHE,SZ07,0
Neuchâtel,CHE,SZ12,0
Lucerne,CHE,SZ11,0
Sankt Gallen,CHE,SZ15,0
Glarus,CHE,SZ08,0
Schaffhausen,CHE,SZ16,0
Schaffhausen,CHE,SZ16,0
Schwyz,CHE,SZ17,0
Zürich,CHE,SZ25,0
Zug,CHE,SZ24,0
Jönköping,SWE,SW08,0
Kalmar,SWE,SW09,0
Orebro,SWE,SW15,0
Stockholm,SWE,SW26,0
Uppsala,SWE,SW21,0
alovci,SVN,SI33,0
Kuzma,SVN,SII2,0
Cerkvenjak,SVN,SI00,0
Benedikt,SVN,SI00,0
Hodo,SVN,SI00,0
Grad,SVN,SI00,0
Destrnik,SVN,SI18,0
Domale,SVN,SIG7,0
Kamnik,SVN,SIH6,0
Kocevje,SVN,SIH7,0
Lenart,SVN,SII3,0
Luce,SVN,SII9,0
Majperk,SVN,SIJ1,0
Novo Mesto,SVN,SIJ7,0
Podvelka,SVN,SI93,0
Preddvor,SVN,SIK5,0
Ptuj,SVN,SIK7,0
Ravne na Korokem,SVN,SIA4,0
Ribnica,SVN,SIL1,0
Rue,SVN,SIL3,0
entjur pri Celju,SVN,SIL7,0
Vojnik,SVN,SIN3,0
Savinjska,SVN,SIN5,0
Komenda,SVN,SI00,0
Oplotnica,SVN,SI00,0
Miklav na Dravskem Polju,SVN,SI00,0
etale,SVN,SI00,0
Podlehnik,SVN,SI00,0
Prevalje,SVN,SI00,0
Trzin,SVN,SI00,0
uemberk,SVN,SI00,0
Dobrna,SVN,SI00,0
Tabor,SVN,SI00,0
Vransko,SVN,SI00,0
Mirna Pec,SVN,SI00,0
Prebold,SVN,SI00,0
Polzela,SVN,SI00,0
Kostel,SVN,SI00,0
Kocevje,SVN,SI00,0
Braslovce,SVN,SI00,0
Sodraica,SVN,SI00,0
Jugovzhodna Slovenija,SVN,SI00,0
Horjul,SVN,SI00,0
Solcava,SVN,SI00,0
Dobje,SVN,SI00,0
Bloke,SVN,SI00,0
Podcetrtek,SVN,SI00,0
Maribor,SVN,SI70,0
