name,iso,fips,woeid
Bari,SOM,SO03,2347008
Hainaut,BEL,,7153299
Limburg,BEL,,7153301
Flores,URY,UY06,2347645
Río Negro,URY,UY12,2347651
Soriano,URY,UY17,2347656
Cerro Largo,URY,UY03,2347642
Rivera,URY,UY13,2344682
Apure,VEN,VE03,2347679
Mérida,VEN,VE14,2347690
Trujillo,VEN,VE21,2347697
Trujillo,VEN,VE23,2347697
Zulia,VEN,VE23,2347699
Cojedes,VEN,VE08,2347684
Carabobo,VEN,VE07,2347683
Portuguesa,VEN,VE18,2347694
Yaracuy,VEN,VE22,2347698
Amazonas,VEN,VE01,2347677
Bolívar,VEN,VE06,2347682
Aragua,VEN,VE04,2347680
Vargas,VEN,VE26,20069993
Distrito Capital,VEN,VE26,2347686
Dependencias Federales,VEN,VE00,2347700
Monagas,VEN,VE16,2347692
Miranda,VEN,VE15,2347691
Nueva Esparta,VEN,VE00,2347693
Sucre,VEN,VE19,2347695
Tobago,TTO,TD11,24549908
Delta Amacuro,VEN,VE09,2347685
Marowijne,SUR,NS13,2346409
Para,SUR,NS15,2346411
Commewijne,SUR,NS13,2346407
Saramacca,SUR,NS17,2346413
Nordland,NOR,JN00,2346392
Clare,IRL,EI03,2345251
Carlow,IRL,EI01,2345249
Cork,IRL,EI04,2345252
Cavan,IRL,EI02,2345250
Andalucía,ESP,SP80,12578029
Cantabria,ESP,SP85,12578028
Plateaux,TGO,TO25,56048438
Maritime,TGO,TO24,2347574
Kara,TGO,TO23,56048435
Centre,TGO,TO22,2347574
Savanes,TGO,TO26,56048434
Maradi,NER,NG04,2346327
Zinder,NER,NG07,2346330
Cataluña,ESP,SP86,12578034
Dolj,ROU,RO17,2346631
Gorj,ROU,RO19,2346633
Mehedinti,ROU,RO26,2346639
Olt,ROU,RO29,2346642
Teleorman,ROU,RO35,2346648
Ialomita,ROU,RO22,2346636
Sa`dah,YEM,YM15,20070038
Ta`izz,YEM,YM25,20070041
Jura,CHE,SZ26,2347108
Aargau,CHE,SZ01,2347083
Nidwalden,CHE,SZ13,2347095
Valais,CHE,SZ22,2347104
Appenzell Ausserrhoden,CHE,SZ02,2347084
Ticino,CHE,SZ20,2347102
Graubünden,CHE,SZ09,2347091
Thurgau,CHE,SZ19,2347101
Uri,CHE,SZ21,2347103
Gävleborg,SWE,SW03,2347046
Dalarna,SWE,SW10,2347053
Kronoberg,SWE,SW12,2347055
Östergötland,SWE,SW16,2347059
Södermanland,SWE,SW18,2347061
Västmanland,SWE,SW25,2347066
Halland,SWE,SW06,2347049
Värmland,SWE,SW22,2347063
Jämtland,SWE,SW07,2347050
Norrbotten,SWE,SW14,2347057
Västernorrland,SWE,SW24,2347065
Västerbotten,SWE,SW23,2347064
Gotland,SWE,SW18,2347048
Sveta Ana,SVN,SI00,55848361
Dobrova-Polhov Gradec,SVN,SIG4,55848364
Loka Dolina,SVN,SII7,55848394
Bistrica ob Sotli,SVN,SI92,55848390
Slovenska Bistrica,SVN,SIL8,55848388
Videm,SVN,SIN2,55848377
Hajdina,SVN,SI00,55848377
Hoce-Slivnica,SVN,SI00,55848367
Trnovska Vas,SVN,SI00,55848377
Selnica ob Dravi,SVN,SI00,55848382
Lovrenc na Pohorju,SVN,SI00,55848382
Jezersko,SVN,SI00,55848358
Dobrepolje,SVN,SI00,55848349
Ribnica na Pohorju,SVN,SIA5,55848378
Blekinge,SWE,SW02,2347045
Bihor,ROU,RO05,2346619
Caras-Severin,ROU,RO12,2346626
Timis,ROU,RO36,2346649
Crimea,UKR,UP08,2347544
Alba,ROU,RO01,2346615
Maramures,ROU,RO25,2346638
Mures,ROU,RO27,2346640
Salaj,ROU,RO31,2346644
Arges,ROU,RO03,2346617
Harghita,ROU,RO20,2346634
Neamt,ROU,RO28,2346641
Prahova,ROU,RO30,2346643
Vrancea,ROU,RO40,2346653
Volyn,UKR,UP21,2347555
Al Mahrah,YEM,YM03,20070032
Al Bayda',YEM,YM20,20070043
Ajman,ARE,AE02,2347110
Sharjah,ARE,AE06,2347114
Abu Dhabi,ARE,AE01,2347109
Khatlon,TJK,TI03,20070295
Rapti,NPL,NP12,20070018
Ranong,THA,TH59,2347183
Phrae,THA,TH07,2347134
Bangkok Metropolis,THA,TH40,2347165
Dak Lak,VNM,VM07,2347720
Riau,IDN,ID37,2345728
Sulawesi Utara,IDN,ID31,28350156
Luapula,ZMB,ZA04,2347808
Northern,ZMB,ZA05,2347807
Central,ZMB,ZA02,2347805
Copperbelt,ZMB,ZA08,2347802
North-Western,ZMB,ZA06,2347801
Mashonaland Central,ZWE,ZI03,2347812
Midlands,ZWE,ZI02,2347811
Mashonaland East,ZWE,ZI04,2347813
Manicaland,ZWE,ZI01,2347810
Mashonaland West,ZWE,ZI05,2347814
Hhohho,SWZ,WZ01,20069889
Lubombo,SWZ,WZ02,20069891
Manzini,SWZ,WZ03,20069892
Shiselweni,SWZ,WZ04,20069890
Maluku Utara,IDN,ID29,20069998
Yogyakarta,IDN,ID10,2345719
Maluku,IDN,ID28,20069997
Nusa Tenggara Barat,IDN,ID17,2345726
Sulawesi Tenggara,IDN,ID22,2345731
Sulawesi Tengah,IDN,ID21,2345730
Papua,IDN,ID36,2345718
Nord,NCL,NC00,24549806
Torba,VUT,NH07,20069883
Sanma,VUT,NH13,20069884
Tafea,VUT,NH15,20069887
Malampa,VUT,NH16,20069886
Shefa,VUT,NH18,20069888
Apurímac,PER,PE03,2346470
Madre de Dios,PER,PE17,2346484
Moquegua,PER,PE18,2346485
Acre,BRA,BR01,2344844
Ancash,PER,PE02,2346469
La Libertad,PER,PE13,2346480
Pasco,PER,PE19,2346486
San Martín,PER,PE22,2346489
Ucayali,PER,PE25,2346492
Amazonas,PER,PE01,2346468
Loreto,PER,PE16,2346483
Ayacucho,PER,PE09,2346472
Lima Province,PER,,2346482
Lima,PER,PE15,2346482
Amazonas,BRA,BR04,2344847
Maranhão,BRA,BR13,2344854
Pará,BRA,BR16,2344857
Rondônia,BRA,BR24,2344865
Tocantins,BRA,BR31,2344870
Alto Paraguay,PRY,PA03,2346463
Boquerón,PRY,PA24,2346450
Distrito Federal,BRA,BR07,2344850
Mato Grosso do Sul,BRA,BR11,2344853
Minas Gerais,BRA,BR15,2344856
Mato Grosso,BRA,BR14,2344855
Cordillera,PRY,PA08,2346455
Presidente Hayes,PRY,PA16,2346461
Guairá,PRY,PA10,2346456
Misiones,PRY,PA12,2346458
Ñeembucú,PRY,PA13,2346459
Paraná,BRA,BR18,2344859
Santa Catarina,BRA,BR26,2344867
Amambay,PRY,PA02,2346449
Alto Paraná,PRY,PA01,2346448
Canindeyú,PRY,PA19,2346464
Itapúa,PRY,PA11,2346457
Ceará,BRA,BR06,2344849
Piauí,BRA,BR20,2344861
Alagoas,BRA,BR02,2344845
Bahia,BRA,BR05,2344848
Espírito Santo,BRA,BR08,2344851
Paraíba,BRA,BR17,2344858
Rio Grande do Norte,BRA,BR22,2344863
Sergipe,BRA,BR28,2344869
Manitoba,CAN,CA03,2344917
Saskatchewan,CAN,CA11,2344925
Alberta,CAN,CA01,2344915
Nunavut,CAN,CA10,20069920
Northwest Territories,CAN,CA13,2344920
Yukon,CAN,CA12,2344926
Atlántida,HND,HO01,2345623
Colón,HND,HO03,2345625
Francisco Morazán,HND,HO08,2345630
Gracias a Dios,HND,HO09,2345631
Islas de la Bahía,HND,HO01,2345633
Olancho,HND,HO15,2345637
Valle,HND,HO17,2345639
Cortés,HND,HO06,2345628
Copán,HND,HO05,2345627
Lempira,HND,HO13,2345635
Carazo,NIC,NU02,2346418
Madriz,NIC,NU09,2346425
Nueva Segovia,NIC,NU13,2346429
Chontales,NIC,NU04,2346420
Roraima,BRA,BR25,2344866
Mahaica-Berbice,GUY,GY13,2345608
Potaro-Siparuni,GUY,GY17,2345610
Upper Takutu-Upper Essequibo,GUY,GY18,2345612
Upper Demerara-Berbice,GUY,GY19,2345611
Barima-Waini,GUY,GY10,2345603
Pomeroon-Supenaam,GUY,GY11,2345609
East Berbice-Corentyne,GUY,GY12,2345606
Essequibo Islands-West Demerara,GUY,GY15,2345607
Cuyuni-Mazaruni,GUY,GY16,2345604
Ontario,CAN,CA08,2344922
Québec,CAN,CA10,2344924
New Brunswick,CAN,CA04,2344922
Nova Scotia,CAN,CA07,2344922
Prince Edward Island,CAN,CA09,2344923
Galway,IRL,EI10,2345255
Meath,IRL,EI21,2345265
Offaly,IRL,EI23,2345267
Westmeath,IRL,EI29,2345272
Wexford,IRL,EI30,2345273
Wicklow,IRL,EI31,2345274
Dublin,IRL,EI07,2345254
Kilkenny,IRL,EI13,2345258
Laoighis,IRL,EI15,2345260
Tipperary,IRL,EI26,2345270
Kerry,IRL,EI11,2345256
Limerick,IRL,EI16,2345261
Roscommon,IRL,EI24,2345268
Sligo,IRL,EI25,2345269
Azores,PRT,PO23,15021776
Madeira,PRT,PO10,2346570
Galicia,ESP,SP91,12578036
Extremadura,ESP,SP90,12578035
Northern,SLE,SL02,2347001
Matam,SEN,SG14,56055615
Oio,GNB,PU04,2346605
Quinara,GNB,PU02,2346604
Tombali,GNB,PU07,2346608
Maryland,LBR,LI13,2346107
Bomi,LBR,LI15,2346109
Bong,LBR,LI01,2346099
Grand Cape Mount,LBR,LI12,2346106
Lofa,LBR,LI20,2346101
Montserrado,LBR,LI14,2346108
Margibi,LBR,LI17,2346111
Nimba,LBR,LI09,2346103
